age	Ichiro-jp	Ichiro-mlb	rose	cobb	aaron	musial	speaker	anson	wagner	yastrzemski	molitor	collins	jeter	sisler
18	24	0	0	36	0	0	0	0	0	0	0	0	0	0
19	36	0	0	149	131	0	3	39	0	0	0	3	0	0
20	246	0	0	361	320	20	29	129	0	0	0	11	0	0
21	425	0	0	549	520	167	197	230	0	155	142	101	12	0
22	618	0	170	765	718	387	380	317	0	346	330	299	195	78
23	803	0	309	959	914	584	547	423	81	529	467	487	385	255
24	984	0	518	1207	1137	584	769	533	257	693	534	667	588	445
25	1125	0	723	1433	1309	812	958	619	453	847	735	856	807	599
26	1278	0	899	1600	1506	995	1151	708	654	1012	899	1040	1008	779
27	1520	242	1109	1727	1697	1225	1327	780	848	1201	909	1221	1199	1036
28	1728	450	1327	1935	1898	1432	1538	900	1024	1363	1080	1394	1390	1252
29	1940	662	1532	2136	2085	1624	1722	1037	1206	1517	1203	1562	1546	1498
30	2202	924	1724	2361	2266	1829	1872	1163	1377	1703	1367	1725	1734	1498
31	2408	1130	1922	2522	2434	2023	2018	1290	1576	1832	1557	1816	1936	1692
32	2632	1354	2152	2713	2618	2223	2232	1449	1751	1952	1751	1981	2150	1916
33	2870	1592	2337	2856	2792	2418	2415	1593	1931	2112	1870	2205	2356	2094
34	3083	1805	2547	3053	2956	2597	2576	1780	2132	2267	2086	2382	2535	2295
35	3308	2030	2762	3264	3110	2781	2794	1944	2300	2413	2281	2576	2747	2474
36	3522	2244	2966	3453	3272	2957	2961	2121	2478	2559	2492	2758	2926	2486
37	3706	2428	3164	3664	3391	3116	3128	2298	2636	2724	2647	2952	3088	2653
38	3884	2606	3372	3821	3509	3203	3292	2455	2817	2869	2789	3099	3304	2858
39	4000	2722	3557	3900	3600	3294	3463	2612	2941	3009	3014	3228	3308	2991
40			3697	4075	3709	3401	3514	2764	3080	3109	3178	3304		
41			3869	4189	3771	3544		2889	3235	3192	3319	3314		
42			3990			3630		3022	3359	3318		3314		
43			4097					3181	3420	3419		3315		
44			4204					3314						
45			4256					3435						
